15,9-Jan-22,tuna,corn,pudding
7,14-Jan-22,corn,pudding,noodle
1,21-Jan-22,tuna ,corn,noodle
4,22-Jan-22,corn,pudding,noodle
8,25-Jan-22,tuna,corn,pudding
6,26-Jan-22,corn,pudding,noodle
17,27-Jan-22,tuna ,corn,noodle
11,28-Jan-22,tuna,corn,pudding
12,30-Jan-22,tuna ,corn,noodle
13,31-Jan-22,corn,pudding,noodle
14,1-Feb-22,tuna ,corn,noodle
5,2-Feb-22,tuna,corn,pudding
20,10-Feb-22,tuna ,corn,noodle
26,14-Feb-22,corn,pudding,noodle
23,16-Feb-22,tuna ,corn,noodle
2,21-Feb-22,tuna,corn,pudding
3,22-Feb-22,tuna ,corn,noodle
9,26-Feb-22,corn,pudding,noodle
22,27-Feb-22,tuna,corn,pudding
28,28-Feb-22,corn,pudding,noodle
29,5-Mar-22,tuna ,corn,noodle
21,8-Mar-22,tuna,corn,pudding
18,9-Mar-22,corn,pudding,noodle
19,10-Mar-22,tuna,corn,pudding
24,14-Mar-22,corn,pudding,noodle
25,16-Mar-22,tuna ,corn,noodle
27,19-Mar-22,tuna,corn,pudding
30,20-Mar-22,corn,pudding,noodle
16,30-Mar-22,tuna ,corn,noodle
10,31-Mar-22,tuna,corn,pudding
