1,1000,251,688018
1,1001,244,1838178
1,1002,273,1769900
1,1003,326,1531238
1,1004,285,668293
1,1005,293,1703630
1,1006,228,365466
1,1007,338,821854
1,1008,194,785535
1,1009,242,1765857
1,1010,339,384120
1,1011,247,380255
1,1012,190,1155929
1,1013,228,1216926
2,2000,333,1969717
2,2001,332,1011130
2,2002,350,633614
2,2003,243,569195
2,2004,344,1642647
2,2005,356,1625100
2,2006,243,829179
2,2007,273,231659
2,2008,227,1367027
2,2009,338,543020
2,2010,289,1273787
2,2011,202,1814176
2,2012,271,1357307
3,3000,268,400893
3,3001,222,694159
3,3002,323,1126794
3,3003,207,558609
3,3004,282,1995236
3,3005,335,1289177
3,3006,208,1777590
3,3007,260,747128
3,3008,220,228841
3,3009,238,1359056
3,3010,339,1193115
3,3011,228,1803346
3,3012,207,1084430
3,3013,241,821021
3,3014,225,546078
4,4000,298,970447
4,4001,189,778359
4,4002,253,385876
4,4003,186,386535
4,4004,181,628874
4,4005,273,497150
4,4006,249,1472524
4,4007,318,1708442
4,4008,180,1604804
4,4009,291,1378075
4,4010,216,1051688
4,4011,337,1507663
4,4012,268,1804335
4,4013,206,585586
4,4014,266,1338778
5,5000,256,1461045
5,5001,246,1566074
5,5002,306,1029880
5,5003,309,1201693
5,5004,290,1128423
5,5005,259,1585063
5,5006,297,817945
5,5007,346,1341411
5,5008,314,1364135
5,5009,227,1054622
5,5010,278,486859
5,5011,277,926546
5,5012,233,418058
6,6000,338,664973
6,6001,328,1807010
6,6002,198,270468
6,6003,194,301714
6,6004,270,1083529
6,6005,264,279978
6,6006,345,1778515
6,6007,180,1259287
6,6008,241,1679874
6,6009,202,869386
6,6010,232,917306
6,6011,240,1304364
6,6012,199,1183943
6,6013,216,1233301
6,6014,210,717981
